timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1528106661.167699,0.184214,0.702750,0.236087,-0.186612,-0.284644,-0.013619,0.139774,-0.646318,-0.750156,0.016751,-0.012083,-0.014477,24.854702,-25.166517,-14.114838,,,,,,,
,,,,,,,,,,,,,,,,52.333443,4.867822,-2.459876,-1.000000,-1.000000,1528106639.186521,
1528106661.187749,0.177749,0.699926,0.236785,-0.123363,-0.307767,0.005213,0.135244,-0.644161,-0.752837,0.010981,-0.004200,-0.005540,24.685322,-25.145985,-14.163391,,,,,,,
1528106661.207830,0.171661,0.697819,0.237543,-0.104477,-0.255102,0.013225,0.130889,-0.642548,-0.754982,0.012955,-0.007491,-0.009926,24.671238,-24.868843,-14.091949,,,,,,,
,,,,,,,,,,,,,,,,52.333443,4.867822,-2.459876,-1.000000,-1.000000,1528106648.186521,
1528106661.227910,0.167609,0.695723,0.238494,-0.115054,-0.128682,0.021290,0.128053,-0.640941,-0.756833,0.011275,-0.008779,0.007290,24.447048,-24.501062,-14.210358,,,,,,,
,,,,,,,,,,,,,,,,52.333429,4.867987,-2.459876,-1.000000,-1.000000,1528106661.240205,
1528106661.247960,0.165652,0.693170,0.239402,-0.134706,-0.040928,0.003344,0.126841,-0.638979,-0.758694,0.013128,-0.005553,0.008983,24.467518,-24.677906,-14.287842,,,,,,,
,,,,,,,,,,,,,,,,52.333429,4.867987,-2.459876,-1.000000,-1.000000,1528106661.250936,
1528106661.268041,0.165311,0.691289,0.239412,-0.063471,-0.033995,-0.027861,0.126780,-0.637531,-0.759921,0.004476,-0.008130,-0.008390,24.538422,-24.868523,-14.308533,,,,,,,
,,,,,,,,,,,,,,,,52.333429,4.867988,-2.459876,-1.000000,-1.000000,1528106661.272445,
1528106661.288121,0.164010,0.691235,0.239147,0.034253,-0.086883,-0.003425,0.125797,-0.637489,-0.760119,0.024349,-0.011376,-0.018674,24.321144,-24.607925,-14.311493,,,,,,,
,,,,,,,,,,,,,,,,52.333429,4.867988,-2.459876,-1.000000,-1.000000,1528106661.280668,
1528106661.308171,0.162025,0.692424,0.239278,0.063122,-0.116682,0.020304,0.124166,-0.638405,-0.759619,0.037852,0.012794,-0.009867,24.349873,-24.686235,-14.349640,,,,,,,
1528106661.328252,0.158846,0.693483,0.239762,0.035550,-0.162976,0.016503,0.121643,-0.639220,-0.759341,0.057739,0.005644,0.006061,24.382580,-25.044065,-14.695618,,,,,,,
1528106661.348332,0.156022,0.693656,0.239676,-0.021438,-0.124799,0.004252,0.119481,-0.639352,-0.759573,0.053035,0.009744,0.000845,24.392353,-25.033892,-14.984283,,,,,,,
1528106661.368383,0.153049,0.692042,0.242630,-0.140084,-0.015188,0.154324,0.117380,-0.638111,-0.760944,0.067069,0.026538,-0.005566,24.201859,-24.933819,-14.839630,,,,,,,
1528106661.388463,0.151035,0.688990,0.248914,-0.205600,0.160172,0.233699,0.116139,-0.635758,-0.763100,0.066127,0.020707,0.007363,24.079983,-25.109818,-14.627625,,,,,,,
1528106661.408544,0.152023,0.684969,0.255564,-0.254499,0.299168,0.210332,0.117279,-0.632649,-0.765506,0.069305,0.019001,0.017978,24.031532,-24.955786,-14.557617,,,,,,,
1528106661.428594,0.155579,0.679111,0.261902,-0.383949,0.415078,0.199775,0.120573,-0.628101,-0.768732,0.057665,0.020191,0.017588,23.904686,-24.835678,-14.598236,,,,,,,
1528106661.448674,0.160739,0.670407,0.269674,-0.524953,0.535214,0.249033,0.125408,-0.621305,-0.773467,0.053562,0.013670,0.007201,24.139278,-24.841196,-14.731995,,,,,,,
1528106661.468755,0.168600,0.659203,0.278559,-0.655211,0.778683,0.238102,0.132645,-0.612487,-0.779271,0.073929,-0.000382,-0.005366,24.089062,-24.787655,-14.819824,,,,,,,
1528106661.488805,0.185501,0.644938,0.286647,-0.823645,1.258759,0.157386,0.147392,-0.601149,-0.785426,0.048348,0.019957,0.012980,24.315044,-24.761209,-14.742981,,,,,,,
1528106661.508885,0.208887,0.626230,0.294080,-1.063955,1.389928,0.078145,0.168021,-0.586095,-0.792629,0.042596,-0.007152,0.009807,24.708778,-24.599380,-14.500000,,,,,,,
1528106661.528966,0.227969,0.603099,0.301853,-1.240497,1.039182,0.037674,0.186129,-0.567197,-0.802273,0.037245,-0.037554,-0.018039,25.131180,-24.227898,-14.168243,,,,,,,
1528106661.549016,0.244781,0.579413,0.305916,-1.133434,0.992690,-0.241686,0.202789,-0.547533,-0.811839,-0.122513,-0.032759,0.015086,25.570107,-23.630997,-14.251709,,,,,,,
1528106661.569097,0.271098,0.557422,0.301828,-0.928524,1.304931,-0.542488,0.227252,-0.529000,-0.817627,-0.160785,-0.088386,0.037506,25.964882,-23.269468,-14.275482,,,,,,,
1528106661.589177,0.293355,0.542136,0.293392,-0.343584,0.396907,-0.491204,0.247701,-0.515967,-0.820013,0.099101,-0.071527,-0.170649,26.639549,-22.651884,-14.104858,,,,,,,
1528106661.609241,0.303628,0.535258,0.289031,-0.292101,0.322366,-0.124976,0.257167,-0.510063,-0.820792,0.084966,0.010582,0.007468,27.023872,-22.587910,-13.953400,,,,,,,
1528106661.629322,0.301062,0.526495,0.295273,-0.629218,-0.129083,0.253719,0.256376,-0.502506,-0.825686,0.016115,0.099369,-0.033841,26.954285,-22.153366,-13.935394,,,,,,,
1528106661.649401,0.286513,0.514211,0.307196,-0.761319,-0.632759,0.337085,0.246062,-0.491848,-0.835187,-0.006850,-0.008472,-0.005328,26.648056,-21.970243,-14.524719,,,,,,,
1528106661.669451,0.261050,0.498916,0.320072,-1.010239,-1.148025,0.328001,0.226633,-0.478474,-0.848351,-0.020441,-0.001979,-0.146309,26.346512,-22.190502,-15.176208,,,,,,,
1528106661.689533,0.230975,0.476892,0.335462,-1.357718,-1.089386,0.431139,0.203384,-0.459020,-0.864832,-0.012924,-0.018458,-0.096914,25.891167,-22.266531,-16.116669,,,,,,,
1528106661.709614,0.202878,0.448679,0.353585,-1.653695,-0.960709,0.503182,0.181546,-0.433776,-0.882541,-0.004651,0.001113,-0.009961,25.084419,-21.846975,-17.389404,,,,,,,
1528106661.729663,0.175959,0.415991,0.371357,-1.766941,-0.980830,0.469592,0.160124,-0.404097,-0.900592,0.021761,-0.011843,-0.034299,24.196411,-21.341669,-18.313721,,,,,,,
1528106661.749743,0.150551,0.383275,0.387286,-1.692498,-0.969586,0.437379,0.139101,-0.373960,-0.916954,0.072325,0.015150,0.009910,23.907063,-20.830492,-19.294250,,,,,,,
,,,,,,,,,,,,,,,,52.333496,4.867836,-2.273345,-1.000000,-1.000000,1528106661.740410,
1528106661.769825,0.127098,0.355324,0.399412,-1.242292,-0.917083,0.307206,0.118838,-0.347894,-0.929971,0.080060,0.033609,0.135690,23.429520,-20.571606,-20.240051,,,,,,,
1528106661.789875,0.109658,0.342198,0.405165,-0.312264,-0.682138,0.099310,0.103093,-0.335558,-0.936361,0.069896,0.027514,0.247137,22.782776,-20.324619,-21.336090,,,,,,,
1528106661.809954,0.100149,0.346042,0.404571,0.428478,-0.340267,-0.055705,0.094055,-0.339177,-0.936009,0.059799,-0.002848,0.207966,22.584389,-20.257818,-21.677643,,,,,,,
1528106661.830035,0.096051,0.358410,0.402964,0.707884,-0.234244,0.038167,0.089809,-0.350786,-0.932139,0.000157,-0.020445,0.037257,22.407936,-20.443911,-21.627472,,,,,,,
1528106661.850085,0.090052,0.376081,0.406302,0.974194,-0.200065,0.345528,0.083645,-0.367278,-0.926342,-0.056789,0.000563,0.085690,22.141598,-20.666027,-21.407593,,,,,,,
1528106661.870167,0.086475,0.399731,0.413734,1.230854,0.056949,0.462436,0.079559,-0.389170,-0.917723,-0.049346,0.034037,0.099898,21.869995,-21.466137,-20.987488,,,,,,,
1528106661.890246,0.087322,0.427723,0.420629,1.451740,0.240750,0.396567,0.079354,-0.414800,-0.906446,-0.045999,0.069478,0.138120,21.804314,-21.976446,-20.461304,,,,,,,
1528106661.910296,0.093737,0.461460,0.423370,1.801036,0.454368,0.186867,0.083809,-0.445256,-0.891472,-0.010506,0.098424,0.160866,21.840801,-22.831820,-19.702271,,,,,,,
1528106661.930377,0.103620,0.501486,0.420527,2.072636,0.355489,-0.005172,0.090699,-0.480729,-0.872165,0.029388,0.060365,0.043354,21.901360,-23.792404,-18.770874,,,,,,,
1528106661.950458,0.109482,0.536079,0.411331,1.375053,-0.266039,-0.382017,0.093936,-0.510769,-0.854570,0.110166,0.050671,-0.252958,21.956112,-24.654106,-17.711365,,,,,,,
1528106661.970507,0.112522,0.549151,0.396440,0.425560,-0.086421,-0.608711,0.095775,-0.521964,-0.847573,0.067326,0.021384,-0.137198,22.222244,-24.718000,-17.112640,,,,,,,
1528106661.990588,0.119256,0.549127,0.384937,-0.157747,0.013441,-0.392618,0.101482,-0.521943,-0.846922,-0.109477,-0.039520,-0.032534,22.703903,-24.793018,-16.987671,,,,,,,
1528106662.010669,0.119642,0.539819,0.380121,-0.597522,-0.160092,-0.180582,0.102384,-0.513981,-0.851669,-0.062635,-0.027905,-0.106537,22.833324,-24.545788,-17.262421,,,,,,,
1528106662.030720,0.117028,0.523306,0.381539,-0.932549,-0.098108,0.035100,0.101135,-0.499746,-0.860247,-0.029739,-0.004496,-0.058363,22.903828,-24.142498,-17.401398,,,,,,,
1528106662.050799,0.108314,0.505997,0.386612,-0.767583,-0.450632,0.153939,0.094556,-0.484680,-0.869565,0.029727,-0.021088,-0.015826,22.685333,-23.740044,-17.981445,,,,,,,
1528106662.070880,0.094861,0.498357,0.391233,-0.140921,-0.537247,0.144998,0.083198,-0.477983,-0.874420,0.037895,-0.007079,0.155380,22.636295,-23.699028,-18.342102,,,,,,,
1528106662.090930,0.087876,0.504464,0.393390,0.539925,-0.140023,0.108360,0.076831,-0.483338,-0.872055,0.041348,-0.018218,0.198288,22.424252,-23.518032,-18.747284,,,,,,,
1528106662.111011,0.088533,0.520320,0.395303,0.854790,0.170994,0.182393,0.076716,-0.497158,-0.864262,-0.025477,-0.018040,0.115513,22.140713,-24.024372,-18.601135,,,,,,,
1528106662.131091,0.090056,0.536826,0.396686,0.751217,0.028702,0.044431,0.077284,-0.511411,-0.855854,-0.037016,0.026273,0.054950,22.080757,-24.067001,-18.030029,,,,,,,
1528106662.151141,0.090942,0.547407,0.392164,0.400525,-0.106844,-0.247391,0.077546,-0.520475,-0.850348,0.023528,0.029508,-0.016626,22.131062,-24.370018,-17.622406,,,,,,,
1528106662.171221,0.092854,0.549474,0.383429,-0.025962,-0.225742,-0.418032,0.079072,-0.522239,-0.849125,-0.022126,0.011527,-0.084316,22.197128,-24.541088,-17.343536,,,,,,,
1528106662.191303,0.091289,0.544108,0.373862,-0.329125,-0.338334,-0.416979,0.077997,-0.517655,-0.852026,0.018408,-0.005508,-0.014932,22.363060,-24.569975,-17.481903,,,,,,,
1528106662.211352,0.089123,0.536592,0.366200,-0.314622,-0.261019,-0.332897,0.076496,-0.511210,-0.856045,0.029339,-0.104864,0.064144,22.359413,-23.920383,-17.703125,,,,,,,
1528106662.231433,0.087818,0.532097,0.361245,-0.133809,-0.199626,-0.150567,0.075579,-0.507342,-0.858424,0.036756,-0.137663,0.070277,22.457302,-23.767155,-18.150421,,,,,,,
1528106662.251513,0.083227,0.529745,0.360815,-0.138459,-0.236063,-0.024539,0.071736,-0.505313,-0.859949,0.024913,-0.062482,0.019907,22.618599,-23.839680,-18.155762,,,,,,,
1528106662.271564,0.079412,0.524416,0.358998,-0.328641,-0.242842,-0.174572,0.068668,-0.500707,-0.862888,0.010373,0.004415,0.008640,22.155968,-23.820995,-18.401245,,,,,,,
1528106662.291645,0.076865,0.515649,0.352717,-0.470522,-0.314680,-0.372541,0.066805,-0.493100,-0.867404,0.021849,0.008099,-0.013501,22.193752,-23.519691,-18.782532,,,,,,,
1528106662.311724,0.075574,0.505897,0.343603,-0.462059,-0.284634,-0.458960,0.066045,-0.484592,-0.872243,0.002254,0.016376,0.005818,22.195721,-23.180647,-18.998688,,,,,,,
1528106662.331774,0.074129,0.497293,0.333566,-0.370280,-0.335434,-0.473113,0.065091,-0.477048,-0.876463,-0.004269,0.017407,0.028395,22.340061,-23.090666,-19.568390,,,,,,,
1528106662.351856,0.071398,0.490572,0.324260,-0.274204,-0.369026,-0.414343,0.062924,-0.471131,-0.879816,-0.007108,0.028260,0.030634,22.610462,-22.482252,-20.207123,,,,,,,
1528106662.371937,0.068572,0.485226,0.315952,-0.219409,-0.290364,-0.373644,0.060609,-0.466408,-0.882490,-0.019929,0.044838,-0.022524,22.399639,-21.737461,-20.453644,,,,,,,
1528106662.391986,0.068331,0.480416,0.308759,-0.249133,-0.125474,-0.316368,0.060549,-0.462148,-0.884733,-0.000292,0.027486,0.040571,22.566166,-21.768663,-20.733673,,,,,,,
1528106662.412066,0.070354,0.474305,0.302851,-0.301830,-0.024003,-0.277916,0.062536,-0.456720,-0.887409,0.026041,0.039988,0.048496,22.670513,-21.434017,-20.796478,,,,,,,
1528106662.432148,0.071675,0.467985,0.297148,-0.272585,-0.105255,-0.257678,0.063914,-0.451089,-0.890187,0.032506,0.048638,0.006444,22.677872,-21.123158,-21.009735,,,,,,,
